DWUS_BrandId,AX_RESPONSE_CODE,NAME,ATG_Start_Date,ATG_End_Date,Orders
WSJ,AAER011,RC WSJ Email Winery Direct Dec-20 2 bottles of Shroud Mou...,11/27/20,04/24/21,23
WSJ,AAER012,RC WSJ Email Worldata Dec-20 2 Saracosa Governo + 2 Glasses,11/27/20,04/24/21,15
WSJ,AAER013,RC WSJ Email Worldata Dec-20 2 Saracosa Governo + 2 Glasses,11/27/20,04/24/21,18
WSJ,AAER014,RC WSJ Email Winery Direct Dec-20 2 bottles of Shroud Mou...,11/27/20,04/24/21,7
VIRGIN,0692001,UP VIRGIN DM Unspecified Dec-20 3 Bottles VIR Rock Wines,11/29/20,11/22/21,126
VIRGIN,0692002,UP VIRGIN DM Unspecified Dec-20 3 Bottles VIR Rock Wines,11/29/20,11/22/21,
VIRGIN,0692003,UP VIRGIN DM Unspecified Dec-20 3 Bottles VIR Rock Wines,11/29/20,11/22/21,
VIRGIN,0692004,UP VIRGIN DM Unspecified Dec-20 3 Bottles VIR Rock Wines,11/29/20,11/22/21,
VIRGIN,0692005,UP VIRGIN DM Unspecified Dec-20 3 Bottles VIR Rock Wines,11/29/20,11/22/21,
WSJ,1871023,RC WSJ Inserts - Statements Omaha Steaks Dec-20 2 Saracos...,11/29/20,06/25/21,231
WSJ,AADR004,RC WSJ OTP - Newspaper New York Times Dec-20 2 Saracosa G...,11/29/20,03/26/21,336
4S,AADY001,RC 4S Inserts - Newspaper New York Post Dec-20 2 bottles ...,11/29/20,03/17/21,
4S,AADY002,RC 4S Inserts - Newspaper New York Post Dec-20 2 bottles ...,11/29/20,03/17/21,49
WSJ,1836013,RC WSJ Inserts - Statements Default Dec-20 2 Saracosa Gov...,12/01/20,09/05/21,
WSJ,1836014,RC WSJ Inserts - Statements Winery Direct Dec-20 2 bottle...,12/01/20,09/05/21,21
WSJ,AADH001,RC WSJ Inserts - Statements Default Dec-20 2 Saracosa Gov...,12/01/20,09/05/21,1
WSJ,AADH002,RC WSJ Inserts - Statements Default Dec-20 2 Saracosa Gov...,12/01/20,09/05/21,
WSJ,AADH003,RC WSJ Inserts - Statements Winery Direct Dec-20 2 bottle...,12/01/20,09/05/21,35
WSJ,AADH004,RC WSJ Inserts - Statements Winery Direct Dec-20 2 bottle...,12/01/20,09/05/21,4
WSJ,AADH006,RC WSJ Inserts - Statements Chicago Tribune News Statemen...,12/01/20,09/05/21,28
WSJ,AADH009,RC WSJ Inserts - Statements Land's End Dec-20 2 Saracosa ...,12/01/20,09/05/21,25
WSJ,AADH010,RC WSJ Inserts - Statements Golf Warehouse Dec-20 2 Sarac...,12/01/20,09/05/21,1
WSJ,AADH011,RC WSJ Inserts - Statements The Clymb Dec-20 2 Saracosa G...,12/01/20,09/05/21,
WSJ,AADH012,RC WSJ Inserts - Statements Washington Post Newspaper Sta...,12/01/20,09/05/21,17
VIRGIN,0943001,RC VIRGIN Walk up - Web Unspecified Dec-20 None,12/06/20,04/03/21,
VIRGIN,0943002,RC VIRGIN Walk up - Web Unspecified Dec-20 3 Bottles VIR ...,12/06/20,05/03/21,24
VIRGIN,0943003,RC VIRGIN Walk up - Web Unspecified Dec-20 None,12/06/20,09/30/21,
VIRGIN,0943004,RC VIRGIN Walk up - Web Unspecified Dec-20 3 Bottles VIR ...,12/06/20,04/03/21,7
VIRGIN,0943005,RC VIRGIN Walk up - Web Unspecified Dec-20 3 Bottles VIR ...,12/06/20,05/03/21,170
VIRGIN,0943006,RC VIRGIN Walk up - Web Unspecified Dec-20 3 Bottles VIR ...,12/06/20,05/03/21,13
VIRGIN,0943007,RC VIRGIN Walk up - Web Unspecified Dec-20 3 Bottles VIR ...,12/06/20,04/03/21,4
VIRGIN,0943008,RC VIRGIN Walk up - Web Unspecified Dec-20 3 Bottles VIR ...,12/06/20,04/03/21,5
VIRGIN,0943009,RC VIRGIN Walk up - Web Unspecified Dec-20 3 Bottles VIR ...,12/06/20,04/03/21,2
VIRGIN,0943010,RC VIRGIN Walk up - Web Unspecified Dec-20 3 Bottles VIR ...,12/06/20,04/03/21,7
VIRGIN,0943012,RC VIRGIN Walk up - Web Unspecified Dec-20 3 Bottles VIR ...,12/06/20,04/03/21,1
VIRGIN,0943013,RC VIRGIN Walk up - Web Unspecified Dec-20 None,12/06/20,04/03/21,
VIRGIN,0943014,RC VIRGIN Walk up - Web Unspecified Dec-20 None,12/06/20,04/03/21,25
VIRGIN,0943015,RC VIRGIN Walk up - Web Unspecified Dec-20 None,12/06/20,04/03/21,6
VIRGIN,0943016,RC VIRGIN Walk up - Web Unspecified Dec-20 None,12/06/20,04/03/21,4
VIRGIN,0943017,RC VIRGIN Walk up - Web Unspecified Dec-20 None,12/06/20,04/03/21,1
VIRGIN,0943018,RC VIRGIN Walk up - Web Unspecified Dec-20 None,12/06/20,04/03/21,8
VIRGIN,0943019,RC VIRGIN Walk up - Web Unspecified Dec-20 None,12/06/20,04/03/21,2
VIRGIN,0943020,RC VIRGIN Walk up - Web Unspecified Dec-20 3 Bottles VIR ...,12/06/20,05/03/21,1
VIRGIN,0943021,RC VIRGIN Walk up - Web Unspecified Dec-20 3 Bottles VIR ...,12/06/20,05/03/21,19
VIRGIN,0943022,RC VIRGIN Walk up - Web Unspecified Dec-20 3 Bottles VIR ...,12/06/20,05/03/21,3
VIRGIN,0943023,RC VIRGIN Walk up - Web Unspecified Dec-20 3 Bottles VIR ...,12/06/20,05/03/21,18
VIRGIN,0943024,RC VIRGIN Walk up - Web Unspecified Dec-20 3 Bottles VIR ...,12/06/20,05/03/21,
WSJ,1931010,RC WSJ Inserts - Package Rue La La  Dec-20 2 btls Inaugur...,12/06/20,06/02/21,17
WSJ,1931011,RC WSJ Inserts - Package Gilt Group Dec-20 2 btls Roma Ro...,12/06/20,06/02/21,46
WSJ,1836022,RC WSJ Inserts - Statements Land's End Dec-20 2 Saracosa ...,12/07/20,09/11/21,57
4S,1772007,RC 4S Inserts - Magazine Winery Direct Dec-20 3 Bottles o...,12/08/20,07/11/21,14
4S,1772008,RC 4S Inserts - Magazine Default Dec-20 3 btl Nat Geo End...,12/08/20,07/11/21,
4S,1772009,RC 4S Inserts - Magazine National Geographic History Dec-...,12/08/20,07/11/21,54
MACYS,1405001,MM MACYS DM MACYS CM Direct Mail Jan21,12/10/20,03/21/21,
